DateTime,Location,Meter Name,Commodity Name,Demand/Usage
2017-05-18 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),178.8
2017-05-18 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),177.6
2017-05-18 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),138.0
2017-05-18 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),146.4
2017-05-18 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),223.2
2017-05-18 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),214.8
2017-05-18 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),400.8
2017-05-18 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),536.4
2017-05-18 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),596.4
2017-05-18 09:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),568.8
2017-05-18 11:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),553.2
2017-05-18 12:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),561.6
2017-05-18 12:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),566.4
2017-05-18 14:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),561.6
2017-05-18 15:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),558.0
2017-05-18 15:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),552.0
2017-05-18 17:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),549.6
2017-05-18 18:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),541.2
2017-05-18 18:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),224.4
2017-05-18 20:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),189.6
2017-05-18 21:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),188.4
2017-05-18 21:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),189.6
2017-05-18 23:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),186.0
2017-05-19 00:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),195.6
2017-05-19 00:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),219.6
2017-05-19 02:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),196.8
2017-05-19 03:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),171.6
2017-05-19 03:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),175.2
2017-05-19 05:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),183.6
2017-05-19 06:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),230.4
2017-05-19 06:59:59.999,Address 1,Meter 1,Electricity Usage (kWh),391.2
2017-05-19 08:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),530.4
2017-05-19 09:00:00.000,Address 1,Meter 1,Electricity Usage (kWh),535.2
