DateTime,Location,Commodity Name,Demand/Usage,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
2017-05-18 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),294.6,,,,
2017-05-18 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),283.2,,,,
2017-05-18 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-18 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),279.0,,,,
2017-05-18 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),281.4,,,,
2017-05-18 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),348.0,,,,
2017-05-18 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),459.0,,,,
2017-05-18 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),514.8,,,,
2017-05-18 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),616.2,,,,
2017-05-18 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),674.4,,,,
2017-05-18 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),714.0,,,,
2017-05-18 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),715.2,,,,
2017-05-18 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),739.2,,,,
2017-05-18 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),747.6,,,,
2017-05-18 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),737.4,,,,
2017-05-18 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),725.4,,,,
2017-05-18 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),722.4,,,,
2017-05-18 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),699.0,,,,
2017-05-18 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),490.8,,,,
2017-05-18 20:00:00,Meter 1 Electricity,Electricity Usage (kWh),471.6,,,,
2017-05-18 21:00:00,Meter 1 Electricity,Electricity Usage (kWh),447.6,,,,
2017-05-18 22:00:00,Meter 1 Electricity,Electricity Usage (kWh),413.4,,,,
2017-05-18 23:00:00,Meter 1 Electricity,Electricity Usage (kWh),357.0,,,,
2017-05-19 00:00:00,Meter 1 Electricity,Electricity Usage (kWh),324.0,,,,
2017-05-19 01:00:00,Meter 1 Electricity,Electricity Usage (kWh),294.0,,,,
2017-05-19 02:00:00,Meter 1 Electricity,Electricity Usage (kWh),285.6,,,,
2017-05-19 03:00:00,Meter 1 Electricity,Electricity Usage (kWh),282.6,,,,
2017-05-19 04:00:00,Meter 1 Electricity,Electricity Usage (kWh),281.4,,,,
2017-05-19 05:00:00,Meter 1 Electricity,Electricity Usage (kWh),282.0,,,,
2017-05-19 06:00:00,Meter 1 Electricity,Electricity Usage (kWh),387.0,,,,
2017-05-19 07:00:00,Meter 1 Electricity,Electricity Usage (kWh),458.4,,,,
2017-05-19 08:00:00,Meter 1 Electricity,Electricity Usage (kWh),512.4,,,,
2017-05-19 09:00:00,Meter 1 Electricity,Electricity Usage (kWh),606.6,,,,
2017-05-19 10:00:00,Meter 1 Electricity,Electricity Usage (kWh),673.8,,,,
2017-05-19 11:00:00,Meter 1 Electricity,Electricity Usage (kWh),704.4,,,,
2017-05-19 12:00:00,Meter 1 Electricity,Electricity Usage (kWh),721.2,,,,
2017-05-19 13:00:00,Meter 1 Electricity,Electricity Usage (kWh),748.8,,,,
2017-05-19 14:00:00,Meter 1 Electricity,Electricity Usage (kWh),740.4,,,,
2017-05-19 15:00:00,Meter 1 Electricity,Electricity Usage (kWh),741.6,,,,
2017-05-19 16:00:00,Meter 1 Electricity,Electricity Usage (kWh),728.4,,,,
2017-05-19 17:00:00,Meter 1 Electricity,Electricity Usage (kWh),723.6,,,,
2017-05-19 18:00:00,Meter 1 Electricity,Electricity Usage (kWh),673.2,,,,
2017-05-19 19:00:00,Meter 1 Electricity,Electricity Usage (kWh),478.2,,,,
