,DateTime,T,P,U,Ff,Td,Elec_Consumption
0,2017-05-18 00:00:00+00:00,18.0,762.8,52.0,2.0,8.0,294.6
1,2017-05-18 01:00:00+00:00,19.0,762.8,47.5,1.5,7.5,283.2
2,2017-05-18 02:00:00+00:00,19.0,763.5,64.0,3.0,12.0,279.0
3,2017-05-18 03:00:00+00:00,19.5,762.0,46.0,3.0,7.5,279.0
4,2017-05-18 04:00:00+00:00,20.0,762.0,43.0,4.0,7.0,281.4
5,2017-05-18 05:00:00+00:00,18.5,762.0,55.5,2.5,9.0,348.0
6,2017-05-18 06:00:00+00:00,18.5,762.0,58.0,1.5,10.0,459.0
7,2017-05-18 07:00:00+00:00,19.5,762.4,50.5,2.5,9.0,514.8
8,2017-05-18 08:00:00+00:00,22.5,762.8,39.5,1.5,8.0,616.2
9,2017-05-18 09:00:00+00:00,23.5,762.8,40.0,2.0,9.0,674.4
10,2017-05-18 10:00:00+00:00,25.0,762.8,32.0,3.0,7.0,714.0
11,2017-05-18 11:00:00+00:00,25.5,762.8,29.0,3.0,6.0,715.2
12,2017-05-18 12:00:00+00:00,27.0,762.4,27.0,4.0,6.5,739.2
13,2017-05-18 13:00:00+00:00,27.0,762.0,28.0,5.0,7.0,747.6
14,2017-05-18 14:00:00+00:00,26.0,762.0,29.0,5.0,6.5,737.4
15,2017-05-18 15:00:00+00:00,26.0,762.0,28.0,3.5,6.0,725.4
16,2017-05-18 16:00:00+00:00,26.0,762.0,29.0,4.0,6.5,722.4
17,2017-05-18 17:00:00+00:00,25.5,761.2,31.0,3.5,7.0,699.0
18,2017-05-18 18:00:00+00:00,24.5,761.2,34.0,3.0,7.5,490.8
19,2017-05-18 19:00:00+00:00,23.0,761.2,41.0,2.0,9.0,471.6
20,2017-05-18 20:00:00+00:00,22.0,761.2,42.5,1.5,8.5,447.6
21,2017-05-18 21:00:00+00:00,20.5,762.0,46.0,1.5,8.5,413.4
22,2017-05-18 22:00:00+00:00,19.5,762.0,47.5,1.0,8.0,357.0
23,2017-05-18 23:00:00+00:00,18.5,762.0,47.5,2.5,7.0,324.0
24,2017-05-19 00:00:00+00:00,18.0,762.0,44.5,2.0,5.5,294.0
25,2017-05-19 01:00:00+00:00,17.5,761.2,46.0,2.0,5.5,285.6
26,2017-05-19 02:00:00+00:00,17.0,761.2,49.0,2.5,6.0,282.6
27,2017-05-19 03:00:00+00:00,17.0,761.2,49.0,3.0,6.0,281.4
28,2017-05-19 04:00:00+00:00,17.0,760.85,49.0,3.0,6.0,282.0
29,2017-05-19 05:00:00+00:00,16.5,761.2,52.0,2.0,6.5,387.0
30,2017-05-19 06:00:00+00:00,18.5,761.2,50.5,3.5,8.0,458.4
31,2017-05-19 07:00:00+00:00,20.5,761.2,49.5,3.5,9.5,512.4
32,2017-05-19 08:00:00+00:00,21.5,762.0,45.5,3.5,9.0,606.6
33,2017-05-19 09:00:00+00:00,23.0,762.0,38.0,5.0,8.0,673.8
34,2017-05-19 10:00:00+00:00,23.0,762.0,45.5,5.0,10.5,704.4
35,2017-05-19 11:00:00+00:00,25.0,761.2,40.5,5.5,10.5,721.2
36,2017-05-19 12:00:00+00:00,25.5,761.2,33.0,6.0,8.0,748.8
37,2017-05-19 13:00:00+00:00,25.5,761.2,34.0,6.5,8.5,740.4
38,2017-05-19 14:00:00+00:00,25.5,761.2,38.0,5.5,10.0,741.6
39,2017-05-19 15:00:00+00:00,25.0,761.2,40.5,5.0,10.5,728.4
40,2017-05-19 16:00:00+00:00,24.5,760.85,40.0,5.0,10.0,723.6
41,2017-05-19 17:00:00+00:00,23.0,760.5,44.0,4.5,10.0,673.2
42,2017-05-19 18:00:00+00:00,23.0,760.5,45.5,5.0,10.5,478.2
43,2017-05-19 19:00:00+00:00,21.5,760.5,51.5,6.0,11.0,468.6
44,2017-05-19 20:00:00+00:00,20.5,760.5,65.0,5.0,13.5,439.8
45,2017-05-19 21:00:00+00:00,20.0,760.85,73.5,4.5,15.0,420.0
46,2017-05-19 22:00:00+00:00,20.0,760.85,66.5,4.0,13.5,351.6
47,2017-05-19 23:00:00+00:00,20.0,760.85,71.0,6.0,14.5,316.2
48,2017-05-20 00:00:00+00:00,18.0,761.2,88.0,2.5,16.0,280.2
49,2017-05-20 01:00:00+00:00,16.0,761.2,88.0,3.5,14.0,269.4
50,2017-05-20 02:00:00+00:00,14.5,760.5,74.5,4.0,10.0,270.0
51,2017-05-20 03:00:00+00:00,15.0,760.5,82.0,2.0,12.0,274.2
52,2017-05-20 04:00:00+00:00,14.5,760.5,85.0,2.0,12.0,279.6
53,2017-05-20 05:00:00+00:00,14.5,760.5,79.5,1.0,11.0,283.2
54,2017-05-20 06:00:00+00:00,15.0,761.2,88.0,1.0,13.0,282.0
55,2017-05-20 07:00:00+00:00,17.0,761.2,85.5,2.0,14.5,290.4
56,2017-05-20 08:00:00+00:00,18.0,761.2,83.0,2.0,15.0,433.2
57,2017-05-20 09:00:00+00:00,18.5,761.2,78.0,4.0,14.5,525.0
58,2017-05-20 10:00:00+00:00,19.5,761.2,68.5,4.0,13.5,546.0
59,2017-05-20 11:00:00+00:00,17.0,761.6,73.0,4.5,12.0,547.8
60,2017-05-20 12:00:00+00:00,16.0,762.0,79.5,2.0,12.5,570.0
61,2017-05-20 13:00:00+00:00,18.5,762.0,70.5,3.0,13.0,418.2
