,PUN,DateTime
0,39.791990000000006,2017-05-18 01:00:00+00:00
1,33.55513,2017-05-18 02:00:00+00:00
2,32.46127,2017-05-18 03:00:00+00:00
3,32.32398,2017-05-18 04:00:00+00:00
4,32.91109,2017-05-18 05:00:00+00:00
5,33.709,2017-05-18 06:00:00+00:00
6,41.03387,2017-05-18 07:00:00+00:00
7,51.83,2017-05-18 08:00:00+00:00
8,55.95,2017-05-18 09:00:00+00:00
9,54.0,2017-05-18 10:00:00+00:00
10,50.37,2017-05-18 11:00:00+00:00
11,49.5,2017-05-18 12:00:00+00:00
12,44.8,2017-05-18 13:00:00+00:00
13,46.55,2017-05-18 14:00:00+00:00
14,50.37,2017-05-18 15:00:00+00:00
15,51.01,2017-05-18 16:00:00+00:00
16,50.37,2017-05-18 17:00:00+00:00
17,49.5,2017-05-18 18:00:00+00:00
18,50.98199,2017-05-18 19:00:00+00:00
19,53.301880000000004,2017-05-18 20:00:00+00:00
20,57.93173,2017-05-18 21:00:00+00:00
21,57.86975,2017-05-18 22:00:00+00:00
22,48.372240000000005,2017-05-18 23:00:00+00:00
23,45.11169,2017-05-18 00:00:00+00:00
24,39.7,2017-05-19 01:00:00+00:00
25,36.39,2017-05-19 02:00:00+00:00
26,33.67223,2017-05-19 03:00:00+00:00
27,32.00476,2017-05-19 04:00:00+00:00
28,32.404340000000005,2017-05-19 05:00:00+00:00
29,32.38701,2017-05-19 06:00:00+00:00
30,36.39,2017-05-19 07:00:00+00:00
31,42.5,2017-05-19 08:00:00+00:00
32,50.02127,2017-05-19 09:00:00+00:00
33,48.67265,2017-05-19 10:00:00+00:00
34,41.89075,2017-05-19 11:00:00+00:00
35,40.15443,2017-05-19 12:00:00+00:00
36,37.60102,2017-05-19 13:00:00+00:00
37,36.33314,2017-05-19 14:00:00+00:00
38,36.34315,2017-05-19 15:00:00+00:00
39,37.26495,2017-05-19 16:00:00+00:00
40,38.3145,2017-05-19 17:00:00+00:00
41,40.15537,2017-05-19 18:00:00+00:00
42,42.097570000000005,2017-05-19 19:00:00+00:00
43,45.41534,2017-05-19 20:00:00+00:00
44,49.24199,2017-05-19 21:00:00+00:00
