DateTime,T,P,U,Ff,Td,Demand/Usage
2017-05-18 01:00:00,19.0,762.8,47.5,1.5,7.5,3376.08
2017-05-18 02:00:00,19.0,763.5,64.0,3.0,12.0,3505.68
2017-05-18 03:00:00,19.5,762.0,46.0,3.0,7.5,3311.28
2017-05-18 04:00:00,20.0,762.0,43.0,4.0,7.0,2125.44
2017-05-18 05:00:00,18.5,762.0,55.5,2.5,9.0,738.72
2017-05-18 06:00:00,18.5,762.0,58.0,1.5,10.0,1509.84
2017-05-18 07:00:00,19.5,762.4,50.5,2.5,9.0,3440.88
2017-05-18 08:00:00,22.5,762.8,39.5,1.5,8.0,3589.92
2017-05-18 09:00:00,23.5,762.8,40.0,2.0,9.0,3551.04
2017-05-18 10:00:00,25.0,762.8,32.0,3.0,7.0,3252.96
2017-05-18 11:00:00,25.5,762.8,29.0,3.0,6.0,2721.6
2017-05-18 12:00:00,27.0,762.4,27.0,4.0,6.5,2417.04
2017-05-18 13:00:00,27.0,762.0,28.0,5.0,7.0,3052.08
2017-05-18 14:00:00,26.0,762.0,29.0,5.0,6.5,2941.92
2017-05-18 15:00:00,26.0,762.0,28.0,3.5,6.0,2630.88
2017-05-18 16:00:00,26.0,762.0,29.0,4.0,6.5,3052.08
2017-05-18 17:00:00,25.5,761.2,31.0,3.5,7.0,777.6
2017-05-18 18:00:00,24.5,761.2,34.0,3.0,7.5,1483.92
2017-05-18 19:00:00,23.0,761.2,41.0,2.0,9.0,2676.24
2017-05-18 20:00:00,22.0,761.2,42.5,1.5,8.5,3026.16
2017-05-18 21:00:00,20.5,762.0,46.0,1.5,8.5,2248.56
2017-05-18 22:00:00,19.5,762.0,47.5,1.0,8.0,2138.4
2017-05-18 23:00:00,18.5,762.0,47.5,2.5,7.0,3129.84
2017-05-19 00:00:00,18.0,762.0,44.5,2.0,5.5,1535.76
2017-05-19 01:00:00,17.5,761.2,46.0,2.0,5.5,2838.24
2017-05-19 02:00:00,17.0,761.2,49.0,2.5,6.0,1697.76
2017-05-19 03:00:00,17.0,761.2,49.0,3.0,6.0,1237.68
2017-05-19 04:00:00,17.0,760.85,49.0,3.0,6.0,952.56
2017-05-19 05:00:00,16.5,761.2,52.0,2.0,6.5,699.84
2017-05-19 06:00:00,18.5,761.2,50.5,3.5,8.0,680.4
2017-05-19 07:00:00,20.5,761.2,49.5,3.5,9.5,712.8
2017-05-19 08:00:00,21.5,762.0,45.5,3.5,9.0,699.84
2017-05-19 09:00:00,23.0,762.0,38.0,5.0,8.0,673.92
2017-05-19 10:00:00,23.0,762.0,45.5,5.0,10.5,725.76
2017-05-19 11:00:00,25.0,761.2,40.5,5.5,10.5,693.36
2017-05-19 12:00:00,25.5,761.2,33.0,6.0,8.0,641.52
2017-05-19 13:00:00,25.5,761.2,34.0,6.5,8.5,673.92
2017-05-19 14:00:00,25.5,761.2,38.0,5.5,10.0,660.96
2017-05-19 15:00:00,25.0,761.2,40.5,5.0,10.5,635.04
2017-05-19 16:00:00,24.5,760.85,40.0,5.0,10.0,498.96
2017-05-19 17:00:00,23.0,760.5,44.0,4.5,10.0,466.56
2017-05-19 18:00:00,23.0,760.5,45.5,5.0,10.5,498.96
2017-05-19 19:00:00,21.5,760.5,51.5,6.0,11.0,460.08
2017-05-19 20:00:00,20.5,760.5,65.0,5.0,13.5,492.48
2017-05-19 21:00:00,20.0,760.85,73.5,4.5,15.0,479.52
2017-05-19 22:00:00,20.0,760.85,66.5,4.0,13.5,473.04
2017-05-19 23:00:00,20.0,760.85,71.0,6.0,14.5,434.16
2017-05-20 00:00:00,18.0,761.2,88.0,2.5,16.0,401.76
2017-05-20 01:00:00,16.0,761.2,88.0,3.5,14.0,369.36
2017-05-20 02:00:00,14.5,760.5,74.5,4.0,10.0,375.84
2017-05-20 03:00:00,15.0,760.5,82.0,2.0,12.0,324.0
2017-05-20 04:00:00,14.5,760.5,85.0,2.0,12.0,311.04
2017-05-20 05:00:00,14.5,760.5,79.5,1.0,11.0,168.48
2017-05-20 06:00:00,15.0,761.2,88.0,1.0,13.0,116.64
2017-05-20 07:00:00,17.0,761.2,85.5,2.0,14.5,103.68
2017-05-20 08:00:00,18.0,761.2,83.0,2.0,15.0,97.2
2017-05-20 09:00:00,18.5,761.2,78.0,4.0,14.5,97.2
2017-05-20 10:00:00,19.5,761.2,68.5,4.0,13.5,97.2
2017-05-20 11:00:00,17.0,761.6,73.0,4.5,12.0,97.2
2017-05-20 12:00:00,16.0,762.0,79.5,2.0,12.5,97.2
2017-05-20 13:00:00,18.5,762.0,70.5,3.0,13.0,97.2
2017-05-20 14:00:00,19.5,762.0,64.0,2.0,12.5,97.2
2017-05-20 15:00:00,20.0,761.6,62.0,5.5,12.5,97.2
2017-05-20 16:00:00,21.0,761.2,57.0,6.0,12.0,90.72
2017-05-20 17:00:00,20.0,761.2,58.0,6.5,11.5,97.2
2017-05-20 18:00:00,20.0,761.2,62.0,4.5,12.5,97.2
2017-05-20 19:00:00,19.0,761.2,70.5,3.5,13.5,97.2
