Date,HOUR,PUN
2017-05-18,1,39.79199
2017-05-18,2,33.55513
2017-05-18,3,32.46127
2017-05-18,4,32.32398
2017-05-18,5,32.91109
2017-05-18,6,33.709
2017-05-18,7,41.03387
2017-05-18,8,51.83
2017-05-18,9,55.95
2017-05-18,10,54.0
2017-05-18,11,50.37
2017-05-18,12,49.5
2017-05-18,13,44.8
2017-05-18,14,46.55
2017-05-18,15,50.37
2017-05-18,16,51.01
2017-05-18,17,50.37
2017-05-18,18,49.5
2017-05-18,19,50.98199
2017-05-18,20,53.30188
2017-05-18,21,57.93173
2017-05-18,22,57.86975
2017-05-18,23,48.37224
2017-05-18,24,45.11169
2017-05-19,1,39.7
2017-05-19,2,36.39
2017-05-19,3,33.67223
2017-05-19,4,32.00476
2017-05-19,5,32.40434
2017-05-19,6,32.38701
2017-05-19,7,36.39
2017-05-19,8,42.5
2017-05-19,9,50.02127
2017-05-19,10,48.67265
2017-05-19,11,41.89075
2017-05-19,12,40.15443
2017-05-19,13,37.60102
2017-05-19,14,36.33314
2017-05-19,15,36.34315
2017-05-19,16,37.26495
2017-05-19,17,38.3145
2017-05-19,18,40.15537
2017-05-19,19,42.09757
2017-05-19,20,45.41534
2017-05-19,21,49.24199
2017-05-19,22,47.90341
2017-05-19,23,42.66811
2017-05-19,24,37.34469
2017-05-20,1,38.94835
2017-05-20,2,35.63268
2017-05-20,3,33.45072
2017-05-20,4,33.36349
2017-05-20,5,33.20393
2017-05-20,6,32.76796
2017-05-20,7,33.55466
2017-05-20,8,37.9957
2017-05-20,9,40.39932
2017-05-20,10,40.07422
2017-05-20,11,40.0
2017-05-20,12,37.8238
2017-05-20,13,34.47764
2017-05-20,14,30.12371
2017-05-20,15,31.32412
2017-05-20,16,33.93326
2017-05-20,17,34.64322
2017-05-20,18,36.69
2017-05-20,19,40.39418
2017-05-20,20,43.41903
2017-05-20,21,46.43106
2017-05-20,22,45.70541
2017-05-20,23,40.7142
2017-05-20,24,37.96903
2017-05-21,1,40.38882
2017-05-21,2,37.12813
2017-05-21,3,33.17
2017-05-21,4,31.21
2017-05-21,5,32.18
2017-05-21,6,35.03
2017-05-21,7,35.02
2017-05-21,8,35.02
2017-05-21,9,33.16
2017-05-21,10,29.9
2017-05-21,11,24.99
2017-05-21,12,19.84
2017-05-21,13,20.31
2017-05-21,14,12.1
2017-05-21,15,10.27566
2017-05-21,16,11.92537
2017-05-21,17,17.48
2017-05-21,18,20.0
2017-05-21,19,28.68
2017-05-21,20,35.03
2017-05-21,21,43.94737
2017-05-21,22,47.73136
2017-05-21,23,41.81838
2017-05-21,24,37.52621
2017-05-22,1,32.96
2017-05-22,2,28.00877
2017-05-22,3,26.9
2017-05-22,4,26.01
2017-05-22,5,26.85882
2017-05-22,6,27.37901
2017-05-22,7,36.12625
2017-05-22,8,44.38677
2017-05-22,9,49.60892
2017-05-22,10,47.36797
2017-05-22,11,44.93577
2017-05-22,12,43.5
2017-05-22,13,42.28
2017-05-22,14,41.49
2017-05-22,15,45.81
2017-05-22,16,49.88
2017-05-22,17,51.33
2017-05-22,18,51.02364
2017-05-22,19,51.92597
2017-05-22,20,56.55869
2017-05-22,21,71.90426
2017-05-22,22,71.87966
2017-05-22,23,50.41553
2017-05-22,24,47.68342
2017-05-23,1,44.47756
2017-05-23,2,40.63519
2017-05-23,3,37.97837
2017-05-23,4,37.5825
2017-05-23,5,37.57971
2017-05-23,6,37.67905
2017-05-23,7,41.87058
2017-05-23,8,51.3892
2017-05-23,9,52.50509
2017-05-23,10,46.8
2017-05-23,11,44.0
2017-05-23,12,44.0
2017-05-23,13,41.6
2017-05-23,14,39.0
2017-05-23,15,44.0
2017-05-23,16,44.7
2017-05-23,17,46.55
2017-05-23,18,45.09
2017-05-23,19,48.82958
2017-05-23,20,52.82054
2017-05-23,21,55.52741
2017-05-23,22,53.96
2017-05-23,23,49.14585
2017-05-23,24,46.8262
2017-05-24,1,48.05741
2017-05-24,2,42.03811
2017-05-24,3,40.71676
2017-05-24,4,39.14096
2017-05-24,5,39.10864
2017-05-24,6,39.20162
2017-05-24,7,44.0771
2017-05-24,8,46.2793
2017-05-24,9,51.21903
2017-05-24,10,46.26175
2017-05-24,11,44.49233
2017-05-24,12,39.15
2017-05-24,13,37.99
2017-05-24,14,36.7
2017-05-24,15,39.15
2017-05-24,16,41.99
2017-05-24,17,45.12
2017-05-24,18,46.31872
2017-05-24,19,52.18747
2017-05-24,20,53.38306
2017-05-24,21,57.25715
2017-05-24,22,57.18143
2017-05-24,23,51.80325
2017-05-24,24,47.59437
2017-05-25,1,47.47893
2017-05-25,2,41.04859
2017-05-25,3,39.75641
2017-05-25,4,37.47752
2017-05-25,5,36.53792
2017-05-25,6,36.54207
2017-05-25,7,43.28358
2017-05-25,8,51.72498
2017-05-25,9,55.66538
2017-05-25,10,50.78134
2017-05-25,11,49.83
2017-05-25,12,47.14
2017-05-25,13,43.1
2017-05-25,14,39.99
2017-05-25,15,45.89
2017-05-25,16,44.4
2017-05-25,17,48.75
2017-05-25,18,47.89893
2017-05-25,19,52.12186
2017-05-25,20,52.82803
2017-05-25,21,55.36164
2017-05-25,22,55.27965
2017-05-25,23,52.77119
2017-05-25,24,48.11009
2017-05-26,1,41.98636
2017-05-26,2,36.15847
2017-05-26,3,35.4613
2017-05-26,4,34.5484
2017-05-26,5,35.32378
2017-05-26,6,35.55103
2017-05-26,7,38.64265
2017-05-26,8,50.14397
2017-05-26,9,53.31383
2017-05-26,10,51.00333
2017-05-26,11,45.56
2017-05-26,12,41.02976
2017-05-26,13,37.3674
2017-05-26,14,37.06148
2017-05-26,15,41.92105
2017-05-26,16,45.36055
2017-05-26,17,48.54876
2017-05-26,18,45.02
2017-05-26,19,48.93079
2017-05-26,20,52.24541
2017-05-26,21,53.34179
2017-05-26,22,52.70831
2017-05-26,23,50.76732
2017-05-26,24,47.79186
2017-05-27,1,39.60411
2017-05-27,2,38.6358
2017-05-27,3,36.87762
2017-05-27,4,35.69258
