DateTime;T;P;U;Ff;Td
18.05.2018 23:50;17.0;760.5;77;2;13.0
18.05.2018 23:20;17.0;761.2;77;2;13.0
18.05.2018 22:50;19.0;760.5;68;2;13.0
18.05.2018 22:20;19.0;760.5;64;2;12.0
18.05.2018 21:50;19.0;760.5;64;2;12.0
18.05.2018 21:20;19.0;760.5;60;1;11.0
18.05.2018 20:50;19.0;760.5;64;1;12.0
18.05.2018 20:20;20.0;760.5;60;2;12.0
18.05.2018 19:50;21.0;760.5;60;2;13.0
18.05.2018 19:20;21.0;759.7;60;3;13.0
18.05.2018 18:50;22.0;759.7;53;3;12.0
18.05.2018 18:20;22.0;759.7;53;3;12.0
18.05.2018 17:50;22.0;759.7;53;3;12.0
18.05.2018 17:20;23.0;759.7;53;3;13.0
18.05.2018 16:50;22.0;759.7;53;3;12.0
18.05.2018 16:20;22.0;759.7;53;3;12.0
18.05.2018 15:50;22.0;760.5;57;3;13.0
18.05.2018 15:20;22.0;760.5;57;4;13.0
18.05.2018 14:20;21.0;760.5;60;3;13.0
18.05.2018 13:50;22.0;760.5;57;3;13.0
18.05.2018 13:20;21.0;760.5;53;2;11.0
18.05.2018 12:50;21.0;760.5;53;3;11.0
18.05.2018 12:20;21.0;761.2;57;2;12.0
18.05.2018 11:50;21.0;761.2;57;2;12.0
18.05.2018 11:20;21.0;761.2;60;1;13.0
18.05.2018 10:50;20.0;761.2;60;1;12.0
18.05.2018 10:20;19.0;761.2;68;3;13.0
18.05.2018 09:50;18.0;761.2;73;2;13.0
18.05.2018 09:20;17.0;761.2;73;2;12.0
18.05.2018 08:50;15.0;761.2;82;2;12.0
18.05.2018 08:20;15.0;761.2;82;2;12.0
18.05.2018 07:50;14.0;761.2;82;3;11.0
18.05.2018 07:20;14.0;761.2;82;2;11.0
18.05.2018 06:50;13.0;761.2;88;2;11.0
18.05.2018 06:20;12.0;760.5;94;2;11.0
18.05.2018 05:50;12.0;760.5;94;2;11.0
18.05.2018 05:20;12.0;760.5;94;1;11.0
18.05.2018 04:50;12.0;760.5;94;2;11.0
18.05.2018 04:20;13.0;760.5;88;2;11.0
18.05.2018 03:50;14.0;760.5;77;2;10.0
18.05.2018 03:20;13.0;760.5;88;1;11.0
18.05.2018 02:50;13.0;760.5;88;1;11.0
18.05.2018 02:20;14.0;761.2;82;2;11.0
18.05.2018 01:50;14.0;761.2;82;3;11.0
18.05.2018 01:20;14.0;761.2;82;2;11.0
18.05.2018 00:50;14.0;761.2;82;2;11.0
18.05.2018 00:20;15.0;761.2;82;2;12.0
17.05.2018 23:50;15.0;761.2;82;2;12.0
17.05.2018 23:20;15.0;762.0;82;2;12.0
17.05.2018 22:50;15.0;762.0;82;2;12.0
17.05.2018 22:20;16.0;762.0;77;2;12.0
17.05.2018 21:50;16.0;762.0;77;3;12.0
17.05.2018 21:20;17.0;761.2;73;2;12.0
17.05.2018 20:50;17.0;761.2;77;1;13.0
17.05.2018 20:20;18.0;761.2;73;2;13.0
17.05.2018 19:50;18.0;761.2;73;2;13.0
17.05.2018 19:20;19.0;761.2;64;3;12.0
17.05.2018 18:50;20.0;761.2;60;3;12.0
17.05.2018 18:20;20.0;761.2;60;3;12.0
17.05.2018 17:50;20.0;761.2;60;4;12.0
17.05.2018 17:20;20.0;761.2;60;3;12.0
17.05.2018 16:50;20.0;761.2;60;4;12.0
17.05.2018 16:20;21.0;761.2;57;4;12.0
17.05.2018 15:50;20.0;761.2;64;4;13.0
17.05.2018 15:20;21.0;761.2;60;4;13.0
17.05.2018 14:50;20.0;761.2;64;4;13.0
17.05.2018 14:20;20.0;761.2;64;4;13.0
17.05.2018 13:50;20.0;761.2;64;3;13.0
17.05.2018 13:20;20.0;761.2;64;3;13.0
17.05.2018 12:50;20.0;761.2;56;2;11.0
17.05.2018 12:20;20.0;761.2;56;2;11.0
17.05.2018 11:50;20.0;761.2;56;2;11.0
17.05.2018 11:20;20.0;761.2;56;2;11.0
17.05.2018 10:50;20.0;761.2;56;2;11.0
