DateTime,T,P,U,Ff,Td
18.05.2018 24:00,17.0,760.85,77.0,2.0,13.0
18.05.2018 23:00,19.0,760.5,66.0,2.0,12.5
18.05.2018 22:00,19.0,760.5,62.0,1.5,11.5
18.05.2018 21:00,19.5,760.5,62.0,1.5,12.0
18.05.2018 20:00,21.0,760.1,60.0,2.5,13.0
18.05.2018 19:00,22.0,759.7,53.0,3.0,12.0
18.05.2018 18:00,22.5,759.7,53.0,3.0,12.5
18.05.2018 17:00,22.0,759.7,53.0,3.0,12.0
18.05.2018 16:00,22.0,760.5,57.0,3.5,13.0
18.05.2018 14:20,21.0,760.5,60,3,13.0
18.05.2018 14:00,21.5,760.5,55.0,2.5,12.0
18.05.2018 13:00,21.0,760.85,55.0,2.5,11.5
18.05.2018 12:00,21.0,761.2,58.5,1.5,12.5
18.05.2018 11:00,19.5,761.2,64.0,2.0,12.5
18.05.2018 10:00,17.5,761.2,73.0,2.0,12.5
18.05.2018 09:00,15.0,761.2,82.0,2.0,12.0
18.05.2018 08:00,14.0,761.2,82.0,2.5,11.0
18.05.2018 07:00,12.5,760.85,91.0,2.0,11.0
18.05.2018 06:00,12.0,760.5,94.0,1.5,11.0
18.05.2018 05:00,12.5,760.5,91.0,2.0,11.0
18.05.2018 04:00,13.5,760.5,82.5,1.5,10.5
18.05.2018 03:00,13.5,760.85,85.0,1.5,11.0
18.05.2018 02:00,14.0,761.2,82.0,2.5,11.0
18.05.2018 01:00,14.5,761.2,82.0,2.0,11.5
17.05.2018 24:00,15.0,761.6,82.0,2.0,12.0
17.05.2018 23:00,15.5,762.0,79.5,2.0,12.0
17.05.2018 22:00,16.5,761.6,75.0,2.5,12.0
17.05.2018 21:00,17.5,761.2,75.0,1.5,13.0
17.05.2018 20:00,18.5,761.2,68.5,2.5,12.5
17.05.2018 19:00,20.0,761.2,60.0,3.0,12.0
17.05.2018 18:00,20.0,761.2,60.0,3.5,12.0
17.05.2018 17:00,20.5,761.2,58.5,4.0,12.0
17.05.2018 16:00,20.5,761.2,62.0,4.0,13.0
17.05.2018 15:00,20.0,761.2,64.0,4.0,13.0
17.05.2018 14:00,20.0,761.2,64.0,3.0,13.0
17.05.2018 13:00,20.0,761.2,56.0,2.0,11.0
17.05.2018 12:00,20.0,761.2,56.0,2.0,11.0
17.05.2018 11:00,19.0,761.6,62.0,1.5,11.5
17.05.2018 10:00,17.0,762.0,73.0,1.5,12.0
17.05.2018 09:00,17.0,762.0,70.5,1.5,11.5
17.05.2018 08:00,15.5,762.0,74.5,1.5,11.0
17.05.2018 07:00,12.5,761.2,85.0,2.5,10.0
17.05.2018 06:00,12.0,761.2,88.0,3.0,10.0
17.05.2018 05:00,12.0,761.2,88.0,2.5,10.0
17.05.2018 04:00,12.5,761.2,88.0,2.0,10.5
17.05.2018 03:00,14.0,761.2,85.0,1.5,11.5
17.05.2018 02:00,13.5,761.6,91.0,1.5,12.0
17.05.2018 01:00,14.5,762.0,88.0,1.0,12.5
16.05.2018 24:00,15.0,762.0,85.0,1.5,12.5
16.05.2018 23:00,16.0,762.0,83.0,1.0,13.0
16.05.2018 20:00,17.5,760.85,72.5,2.0,12.5
16.05.2018 19:00,18.5,760.5,66.0,3.0,12.0
16.05.2018 18:00,18.0,760.5,68.0,4.0,12.0
16.05.2018 17:00,19.0,760.85,62.0,4.0,11.5
16.05.2018 16:00,18.0,761.2,64.0,4.0,11.0
16.05.2018 14:20,18.0,761.2,64,4,11.0
16.05.2018 14:00,18.5,761.2,58.0,4.5,10.0
16.05.2018 13:00,19.5,761.2,54.5,4.5,10.0
16.05.2018 12:00,19.0,761.2,56.0,4.0,10.0
16.05.2018 11:00,17.5,761.2,62.0,4.0,10.0
16.05.2018 10:00,16.5,761.2,68.0,4.5,10.5
16.05.2018 09:00,16.0,761.2,72.0,3.5,11.0
16.05.2018 08:00,13.5,760.85,79.5,2.0,10.0
16.05.2018 07:00,12.0,760.5,88.0,2.0,10.0
16.05.2018 06:00,12.0,760.5,91.0,1.5,10.5
16.05.2018 05:00,11.5,760.5,91.0,2.0,10.0
16.05.2018 04:00,12.0,760.5,94.0,2.0,11.0
