Local time in Ciampino (airport);Temp_dcelsius;Wind_speed;Dewpoint_temp
31.12.2017 22:00;12.01;6;9.01
31.12.2017 19:00;10.09;1;8.02
31.12.2017 16:00;12.06;3;9.03
31.12.2017 13:00;13.05;4;9.04
31.12.2017 10:00;9.00;1;7.01
31.12.2017 07:00;5.00;1;3.08
31.12.2017 04:00;5.06;2;3.08
31.12.2017 01:00;7.00;1;3.08
30.12.2017 22:00;6.05;1;4.01
30.12.2017 19:00;9.00;0;5.06
30.12.2017 16:00;10.02;1;3.07
30.12.2017 13:00;10.05;1;3.05
30.12.2017 10:00;7.01;1;1.09
30.12.2017 07:00;5.04;2;-0.3
30.12.2017 01:00;3.01;2;0.00
29.12.2017 22:00;4.08;1;1.04
29.12.2017 19:00;6.00;2;1.01
29.12.2017 16:00;8.02;4;1.07
29.12.2017 13:00;7.05;6;2.04
29.12.2017 10:00;4.09;7;2.01
29.12.2017 07:00;2.01;2;1.03
29.12.2017 04:00;1.05;2;0.07
29.12.2017 01:00;3.05;2;1.09
28.12.2017 22:00;5.08;3;2.09
28.12.2017 19:00;5.08;3;3.07
28.12.2017 16:00;6.06;2;4.04
28.12.2017 13:00;6.03;4;4.01
28.12.2017 10:00;4.07;1;2.00
28.12.2017 07:00;7.06;5;1.06
28.12.2017 04:00;8.06;4;1.09
28.12.2017 01:00;10.03;3;4.02
27.12.2017 22:00;10.06;4;6.04
27.12.2017 19:00;10.00;5;9.00
27.12.2017 16:00;10.03;8;7.08
27.12.2017 13:00;12.03;8;9.06
27.12.2017 10:00;12.05;7;10.07
27.12.2017 07:00;11.06;5;9.06
27.12.2017 04:00;10.06;4;8.08
27.12.2017 01:00;11.00;5;8.03
26.12.2017 22:00;10.05;5;7.09
26.12.2017 19:00;11.05;4;7.09
26.12.2017 16:00;12.05;5;6.05
26.12.2017 13:00;13.09;4;4.09
26.12.2017 10:00;11.04;5;5.06
26.12.2017 07:00;8.04;2;4.03
26.12.2017 04:00;5.09;1;4.02
26.12.2017 01:00;6.06;1;4.06
25.12.2017 22:00;7.07;3;5.06
25.12.2017 19:00;6.03;1;4.05
25.12.2017 16:00;12.01;1;6.09
25.12.2017 13:00;11.02;1;4.06
25.12.2017 10:00;5.07;1;2.01
25.12.2017 07:00;1.07;1;-1.1
25.12.2017 04:00;4.01;1;0.06
25.12.2017 01:00;5.01;2;4.00
24.12.2017 22:00;6.04;2;4.07
24.12.2017 19:00;6.04;2;1.07
24.12.2017 16:00;13.03;2;3.02
24.12.2017 13:00;11.08;2;-0.6
24.12.2017 10:00;6.04;3;-1.8
24.12.2017 07:00;2.08;2;-3.0
24.12.2017 04:00;3.08;2;-2.9
24.12.2017 01:00;6.03;2;-2.4
23.12.2017 22:00;8.02;2;-0.5
23.12.2017 19:00;10.05;3;-0.4
23.12.2017 16:00;14.00;1;0.06
23.12.2017 13:00;12.08;3;-0.2
23.12.2017 10:00;8.09;5;-2.4
23.12.2017 07:00;5.03;3;-3.0
23.12.2017 04:00;6.01;4;-3.1
23.12.2017 01:00;5.07;3;-3.2
22.12.2017 22:00;6.03;3;-2.9
22.12.2017 19:00;7.06;2;-2.2
22.12.2017 16:00;14.00;1;0.01
22.12.2017 10:00;7.03;4;-2.2
22.12.2017 07:00;3.05;4;-4.0
22.12.2017 04:00;2.05;4;-4.2
22.12.2017 01:00;1.02;4;-3.4
21.12.2017 22:00;2.09;2;-3.1
21.12.2017 19:00;5.00;2;-1.9
21.12.2017 16:00;8.08;4;-2.8
21.12.2017 13:00;8.02;4;-4.7
21.12.2017 10:00;4.02;3;-5.9
21.12.2017 07:00;-2.6;2;-6.5
21.12.2017 04:00;0.01;3;-6.0
21.12.2017 01:00;0.01;3;-5.1
20.12.2017 22:00;1.09;3;-4.3
20.12.2017 19:00;2.04;2;-3.1
20.12.2017 16:00;4.03;1;-3.0
20.12.2017 13:00;4.05;1;-2.4
20.12.2017 10:00;2.05;3;-3.5
20.12.2017 04:00;1.08;2;-3.9
20.12.2017 01:00;2.00;2;-3.5
19.12.2017 22:00;3.04;4;-4.4
19.12.2017 19:00;3.09;3;-3.4
19.12.2017 16:00;8.00;1;-3.8
19.12.2017 13:00;7.07;2;-2.5
19.12.2017 10:00;2.01;2;-4.2
19.12.2017 07:00;-0.9;3;-6.1
19.12.2017 04:00;-0.8;3;-5.8
19.12.2017 01:00;0.01;2;-4.8
18.12.2017 22:00;1.07;1;-4.0
18.12.2017 19:00;5.01;2;-5.1
18.12.2017 16:00;7.07;4;-5.2
18.12.2017 13:00;7.08;2;-3.1
18.12.2017 10:00;4.04;3;-2.8
18.12.2017 07:00;1.00;3;-3.1
18.12.2017 04:00;1.09;3;-3.6
18.12.2017 01:00;2.06;3;-3.9
17.12.2017 22:00;3.08;3;-3.0
17.12.2017 19:00;5.08;3;-1.7
17.12.2017 16:00;9.01;4;0.01
17.12.2017 13:00;9.00;5;1.00
17.12.2017 10:00;5.04;3;1.08
17.12.2017 07:00;2.08;2;1.03
17.12.2017 04:00;2.05;2;1.04
17.12.2017 01:00;2.09;4;1.05
16.12.2017 22:00;5.01;1;2.07
16.12.2017 19:00;7.05;1;3.05
16.12.2017 16:00;10.06;3;2.01
16.12.2017 13:00;12.02;5;4.04
16.12.2017 10:00;11.02;3;5.02
16.12.2017 07:00;8.01;2;5.09
16.12.2017 04:00;7.03;2;5.03
16.12.2017 01:00;9.08;6;5.07
15.12.2017 22:00;11.08;4;9.04
15.12.2017 19:00;13.02;5;12.00
15.12.2017 16:00;13.08;7;12.06
15.12.2017 13:00;13.01;3;12.02
15.12.2017 10:00;13.01;5;11.07
15.12.2017 07:00;13.05;3;11.09
15.12.2017 04:00;13.03;4;11.07
15.12.2017 01:00;12.02;3;10.08
14.12.2017 22:00;12.09;4;10.00
14.12.2017 19:00;12.09;4;9.05
14.12.2017 16:00;12.02;5;9.01
14.12.2017 13:00;11.08;4;8.07
14.12.2017 10:00;12.06;4;7.04
14.12.2017 07:00;11.06;3;6.09
14.12.2017 04:00;9.08;2;6.06
14.12.2017 01:00;8.06;3;4.08
13.12.2017 22:00;8.00;3;4.09
13.12.2017 19:00;9.04;1;4.05
13.12.2017 16:00;12.04;2;5.08
13.12.2017 13:00;12.06;3;6.05
13.12.2017 10:00;12.01;3;10.00
13.12.2017 07:00;11.02;2;10.01
13.12.2017 04:00;11.04;1;10.05
13.12.2017 01:00;11.03;2;10.05
12.12.2017 22:00;14.09;5;13.03
12.12.2017 19:00;14.07;5;12.09
12.12.2017 16:00;15.00;5;12.01
12.12.2017 13:00;15.08;7;11.06
12.12.2017 10:00;15.00;6;11.04
12.12.2017 07:00;14.07;7;10.06
12.12.2017 04:00;14.06;9;10.09
12.12.2017 01:00;14.06;9;10.08
11.12.2017 22:00;14.05;10;10.09
11.12.2017 19:00;14.05;10;10.04
11.12.2017 16:00;14.06;8;10.02
11.12.2017 13:00;14.09;9;10.03
11.12.2017 10:00;14.05;8;11.00
11.12.2017 07:00;13.09;7;10.09
11.12.2017 04:00;13.02;7;10.09
11.12.2017 01:00;12.00;7;9.09
