,dummy,T,P,Ff,U,Td,Demand/Usage
2017-05-18 00:00:00,1,18.0,762.8,2.0,52.0,8.0,
2017-05-18 01:00:00,1,19.0,762.8,1.5,47.5,7.5,3376.08
2017-05-18 02:00:00,1,19.0,763.5,3.0,64.0,12.0,3505.68
2017-05-18 03:00:00,1,19.5,762.0,3.0,46.0,7.5,3311.28
2017-05-18 04:00:00,1,20.0,762.0,4.0,43.0,7.0,2125.44
2017-05-18 05:00:00,1,18.5,762.0,2.5,55.5,9.0,738.72
2017-05-18 06:00:00,1,18.5,762.0,1.5,58.0,10.0,1509.84
2017-05-18 07:00:00,1,19.5,762.4,2.5,50.5,9.0,3440.88
2017-05-18 08:00:00,1,22.5,762.8,1.5,39.5,8.0,3589.92
2017-05-18 09:00:00,1,23.5,762.8,2.0,40.0,9.0,3551.04
2017-05-18 10:00:00,1,25.0,762.8,3.0,32.0,7.0,3252.96
2017-05-18 11:00:00,1,25.5,762.8,3.0,29.0,6.0,2721.6
2017-05-18 12:00:00,1,27.0,762.4,4.0,27.0,6.5,2417.04
2017-05-18 13:00:00,1,27.0,762.0,5.0,28.0,7.0,3052.08
2017-05-18 14:00:00,1,26.0,762.0,5.0,29.0,6.5,2941.92
2017-05-18 15:00:00,1,26.0,762.0,3.5,28.0,6.0,2630.88
2017-05-18 16:00:00,1,26.0,762.0,4.0,29.0,6.5,3052.08
2017-05-18 17:00:00,1,25.5,761.2,3.5,31.0,7.0,777.6
2017-05-18 18:00:00,1,24.5,761.2,3.0,34.0,7.5,1483.92
2017-05-18 19:00:00,1,23.0,761.2,2.0,41.0,9.0,2676.24
2017-05-18 20:00:00,1,22.0,761.2,1.5,42.5,8.5,3026.16
2017-05-18 21:00:00,1,20.5,762.0,1.5,46.0,8.5,2248.56
2017-05-18 22:00:00,1,19.5,762.0,1.0,47.5,8.0,2138.4
2017-05-18 23:00:00,1,18.5,762.0,2.5,47.5,7.0,3129.84
2017-05-19 00:00:00,1,18.0,762.0,2.0,44.5,5.5,1535.76
2017-05-19 01:00:00,1,17.5,761.2,2.0,46.0,5.5,2838.24
2017-05-19 02:00:00,1,17.0,761.2,2.5,49.0,6.0,1697.76
2017-05-19 03:00:00,1,17.0,761.2,3.0,49.0,6.0,1237.68
2017-05-19 04:00:00,1,17.0,760.85,3.0,49.0,6.0,952.56
2017-05-19 05:00:00,1,16.5,761.2,2.0,52.0,6.5,699.84
2017-05-19 06:00:00,1,18.5,761.2,3.5,50.5,8.0,680.4
2017-05-19 07:00:00,1,20.5,761.2,3.5,49.5,9.5,712.8
2017-05-19 08:00:00,1,21.5,762.0,3.5,45.5,9.0,699.84
2017-05-19 09:00:00,1,23.0,762.0,5.0,38.0,8.0,673.92
2017-05-19 10:00:00,1,23.0,762.0,5.0,45.5,10.5,725.76
2017-05-19 11:00:00,1,25.0,761.2,5.5,40.5,10.5,693.36
2017-05-19 12:00:00,1,25.5,761.2,6.0,33.0,8.0,641.52
2017-05-19 13:00:00,1,25.5,761.2,6.5,34.0,8.5,673.92
2017-05-19 14:00:00,1,25.5,761.2,5.5,38.0,10.0,660.96
2017-05-19 15:00:00,1,25.0,761.2,5.0,40.5,10.5,635.04
2017-05-19 16:00:00,1,24.5,760.85,5.0,40.0,10.0,498.96
2017-05-19 17:00:00,1,23.0,760.5,4.5,44.0,10.0,466.56
2017-05-19 18:00:00,1,23.0,760.5,5.0,45.5,10.5,498.96
2017-05-19 19:00:00,1,21.5,760.5,6.0,51.5,11.0,460.08
2017-05-19 20:00:00,1,20.5,760.5,5.0,65.0,13.5,492.48
2017-05-19 21:00:00,1,20.0,760.85,4.5,73.5,15.0,479.52
2017-05-19 22:00:00,1,20.0,760.85,4.0,66.5,13.5,473.04
2017-05-19 23:00:00,1,20.0,760.85,6.0,71.0,14.5,434.16
2017-05-20 00:00:00,1,18.0,761.2,2.5,88.0,16.0,401.76
2017-05-20 01:00:00,1,16.0,761.2,3.5,88.0,14.0,369.36
2017-05-20 02:00:00,1,14.5,760.5,4.0,74.5,10.0,375.84
2017-05-20 03:00:00,1,15.0,760.5,2.0,82.0,12.0,324.0
2017-05-20 04:00:00,1,14.5,760.5,2.0,85.0,12.0,311.04
2017-05-20 05:00:00,1,14.5,760.5,1.0,79.5,11.0,168.48
2017-05-20 06:00:00,1,15.0,761.2,1.0,88.0,13.0,116.64
2017-05-20 07:00:00,1,17.0,761.2,2.0,85.5,14.5,103.68
2017-05-20 08:00:00,1,18.0,761.2,2.0,83.0,15.0,97.2
2017-05-20 09:00:00,1,18.5,761.2,4.0,78.0,14.5,97.2
2017-05-20 10:00:00,1,19.5,761.2,4.0,68.5,13.5,97.2
2017-05-20 11:00:00,1,17.0,761.6,4.5,73.0,12.0,97.2
2017-05-20 12:00:00,1,16.0,762.0,2.0,79.5,12.5,97.2
2017-05-20 13:00:00,1,18.5,762.0,3.0,70.5,13.0,97.2
2017-05-20 14:00:00,1,19.5,762.0,2.0,64.0,12.5,97.2
2017-05-20 15:00:00,1,20.0,761.6,5.5,62.0,12.5,97.2
2017-05-20 16:00:00,1,21.0,761.2,6.0,57.0,12.0,90.72
2017-05-20 17:00:00,1,20.0,761.2,6.5,58.0,11.5,97.2
2017-05-20 18:00:00,1,20.0,761.2,4.5,62.0,12.5,97.2
