	Week	Demand/Usage
0	1	170255.5199999997
1	2	287912.88
2	3	278257.67999999964
3	4	224013.60000000012
4	5	297613.43999999994
5	6	279346.31999999983
6	7	238496.40000000002
7	8	300160.07999999967
8	9	280875.59999999957
9	10	276093.35999999964
10	11	284860.7999999995
11	12	236183.04000000012
12	13	237441.69999999995
13	14	298825.1999999999
14	15	231996.96000000017
15	16	282061.43999999994
16	17	221160.3500000001
17	18	208649.52
18	19	325869.3199999996
19	20	341236.79999999993
20	21	202461.12000000026
21	22	211921.92000000004
22	23	211384.08000000002
23	24	268142.4
24	25	220566.23999999996
25	26	285858.72000000044
26	27	58669.92000000002
27	28	259919.28000000017
28	29	219438.72000000015
29	30	260191.44000000003
30	31	213483.60000000012
31	32	205565.04000000004
32	33	207094.32000000018
33	34	259148.16
34	35	194212.07999999987
35	36	200854.08000000005
36	37	254035.43999999997
37	38	235275.83999999994
38	39	206122.3199999999
39	40	270131.76
40	41	212699.52000000008
41	42	215181.35999999993
42	43	279547.1999999998
43	44	211753.44
44	45	274875.1199999994
45	46	219840.48000000007
46	47	199221.12000000005
47	48	203847.84000000008
48	49	210139.92000000007
49	50	220566.24000000022
50	51	226216.80000000005
51	52	187284.96000000017
